Product ID,feature,shap_value
L51823,Air temperature K,3.2537751
L51642,Air temperature K,3.2189696
L51909,Air temperature K,3.3637402
L51563,Air temperature K,0.16548505
L54689,Air temperature K,-1.6389568
L51822,Air temperature K,3.0874867
L51597,Air temperature K,3.3063233
L51601,Air temperature K,5.1044784
L51034,Air temperature K,-0.5426756
H33894,Air temperature K,5.951141
L54773,Air temperature K,-1.3796573
L48515,Air temperature K,-2.1240597
L51681,Air temperature K,3.6319869
M20254,Air temperature K,0.7164498
L51628,Air temperature K,3.3104537
L48676,Air temperature K,-1.289276
L51123,Air temperature K,-0.25076115
H35323,Air temperature K,-2.1866024
L56839,Air temperature K,-2.3902736
L51621,Air temperature K,3.726355
L51675,Air temperature K,4.8315687
L51615,Air temperature K,3.9007084
L51716,Air temperature K,3.8411274
M19269,Air temperature K,3.9151363
L48341,Air temperature K,-1.581778
L51655,Air temperature K,6.1767344
L49941,Air temperature K,-2.1485257
L49778,Air temperature K,-2.0869114
M15984,Air temperature K,-1.6239529
L51580,Air temperature K,3.9069836
L57154,Air temperature K,-1.9238129
M15876,Air temperature K,-1.9204495
L52100,Air temperature K,2.5532053
L47429,Air temperature K,-0.29133764
L47249,Air temperature K,-0.980469
L47428,Air temperature K,-1.4434965
L51690,Air temperature K,3.3954945
L51251,Air temperature K,-1.641172
L56673,Air temperature K,-1.184614
M23167,Air temperature K,-2.0334864
L47340,Air temperature K,-1.7685392
L53435,Air temperature K,-1.4600986
M19393,Air temperature K,3.542838
L53677,Air temperature K,-1.8362889
M19279,Air temperature K,2.2847862
L51585,Air temperature K,3.5206726
M19416,Air temperature K,7.0458536
L56844,Air temperature K,-2.6258593
L51738,Air temperature K,5.6923013
L55578,Air temperature K,0.028469581
L51831,Air temperature K,6.874355
L55617,Air temperature K,-2.3148174
L51724,Air temperature K,2.6660283
L51750,Air temperature K,5.5994525
L48775,Air temperature K,-1.588883
M19249,Air temperature K,3.6489289
M18795,Air temperature K,1.9567577
M19387,Air temperature K,3.989717
L51550,Air temperature K,0.17969479
L52399,Air temperature K,2.114911
L51434,Air temperature K,2.538174
L51928,Air temperature K,6.5133305
L51780,Air temperature K,6.46299
M19478,Air temperature K,7.2036133
L48106,Air temperature K,-1.8231293
M19587,Air temperature K,4.5452485
L51841,Air temperature K,6.894901
M19287,Air temperature K,3.7958024
L51939,Air temperature K,6.5223246
L51450,Air temperature K,5.241875
L52241,Air temperature K,0.89687407
L55372,Air temperature K,-1.3837173
L53258,Air temperature K,-2.1381617
L53705,Air temperature K,-1.3624088
M19529,Air temperature K,6.4513845
M19143,Air temperature K,0.8983133
L48571,Air temperature K,-1.6175487
L56594,Air temperature K,-1.4440571
L47783,Air temperature K,-2.4915056
L54347,Air temperature K,-2.4321654
L56264,Air temperature K,-1.7751734
H37528,Air temperature K,-2.154578
M15119,Air temperature K,-1.2097043
L51586,Air temperature K,3.4042873
L56355,Air temperature K,-1.2669716
M19857,Air temperature K,1.7285408
L52332,Air temperature K,-1.2744939
L54266,Air temperature K,-3.52161
M19704,Air temperature K,7.1367025
L51759,Air temperature K,6.0735703
M19461,Air temperature K,6.7015786
H34312,Air temperature K,2.3986418
L51362,Air temperature K,3.054011
L51800,Air temperature K,6.778353
L51791,Air temperature K,5.861974
L52670,Air temperature K,0.15780503
L51260,Air temperature K,1.6153258
M19221,Air temperature K,3.7374694
L51801,Air temperature K,6.7058644
M23105,Air temperature K,-3.0278008
M19202,Air temperature K,0.11782023
L54263,Air temperature K,-1.6856586
L49624,Air temperature K,-1.9830956
L51898,Air temperature K,4.606574
L51776,Air temperature K,6.549333
L49305,Air temperature K,-1.9464096
L49511,Air temperature K,-0.83313084
M19622,Air temperature K,2.1715817
L47926,Air temperature K,-1.7364591
M19033,Air temperature K,4.337061
L51935,Air temperature K,7.076064
L48969,Air temperature K,-2.183536
L51919,Air temperature K,6.69087
H32414,Air temperature K,-2.380675
L47507,Air temperature K,-2.200739
H32274,Air temperature K,-1.8229845
L51261,Air temperature K,1.7775395
M19597,Air temperature K,6.454171
M19309,Air temperature K,3.6123195
L47643,Air temperature K,-0.12632315
L53428,Air temperature K,-1.4610673
M20194,Air temperature K,1.2241249
M23442,Air temperature K,-2.7807481
M19525,Air temperature K,7.740569
H34175,Air temperature K,7.4389462
L48342,Air temperature K,0.026005693
H33979,Air temperature K,6.5040092
L51228,Air temperature K,-0.9977257
M23706,Air temperature K,-1.5797379
L47348,Air temperature K,-0.6959964
M19013,Air temperature K,2.3254993
L51903,Air temperature K,5.1329656
M20475,Air temperature K,2.350886
L55106,Air temperature K,-1.7071476
L54936,Air temperature K,-1.6803706
L57002,Air temperature K,-1.917856
L49674,Air temperature K,-2.8977773
M19251,Air temperature K,4.000466
L48988,Air temperature K,-0.40652835
L51365,Air temperature K,3.8935585
M19030,Air temperature K,4.2864695
L53358,Air temperature K,-1.4351383
L51427,Air temperature K,3.8390367
